LIPID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
32:0-PC	1647,672128	1329,224197	6795,054901	9616,869925	9790,158573	2473,727022	7116,29829	9633,624614	6655,818408	5586,27465
32:1-PC	318,6044757	8783,64048	8429,56817	2286,458061	4274,605022	2905,993783	7520,946489	1442,581714	2727,648242	4841,169797
32:2-PC	573,0843115	9996,280925	2103,210068	2555,860868	3972,539606	3216,513833	8191,312354	8987,100157	9441,102236	9376,726281
34:0-PC	6864,843781	5692,214201	3940,545751	1878,211358	6671,244389	3672,996024	5796,780762	5675,556338	4374,860724	4826,402885
34:1-PC	9154,542428	5478,752661	4392,073484	8209,383827	9900,473272	2930,845778	1742,187776	4824,664979	9687,600528	456,5305489
34:2-PC	1958,513651	1955,331495	3202,101849	9934,791634	2726,334117	3777,708671	2842,84076	3603,995133	7044,18128	5825,94774
34:3-PC	6514,547703	2893,755206	8674,482148	3919,443046	7167,121128	7909,181175	4518,425769	9639,47829	5751,671287	2090,921284
34:4-PC	6848,561693	1077,274838	211,1275373	5108,500544	4791,12356	5713,204885	4841,179192	3489,626212	8814,735649	5835,372227
34:5-PC	8535,843781	7285,470778	5507,18055	8271,852203	3973,68288	6457,776742	2042,767605	7242,463615	8831,44903	9354,016148
36:0-PC	4040,600454	9432,803942	9853,166317	8406,526168	7892,851311	8516,969692	4821,03658	3979,693346	6156,311188	4684,650606
36:1-PC	1091,176952	4155,639648	8102,256973	9451,105033	6220,999455	926,0008421	6732,316428	2989,339716	2556,762014	5033,211685
36:2-PC	8047,150295	5822,244513	4908,61095	4796,094335	3612,064398	3362,923507	599,1806753	3417,111149	4493,760031	1204,23924
36:3-PC	4999,211114	3319,259321	5214,861886	1625,85792	2959,16666	2335,847192	7233,738577	8160,028273	7227,064625	8417,823026
36:4-PC	4073,763832	1554,437958	8778,351362	4279,316684	1360,906489	8776,464356	7342,8315	6197,55854	2225,564146	3124,880825
36:5-PC	2445,885199	909,5176028	1194,188918	1415,433311	6035,987441	9623,938393	8594,16027	6822,918451	3947,543037	2126,660238
36:6-PC	1786,088552	7219,0394	4788,830172	7118,366015	3067,037464	410,5009677	4385,939605	531,6487032	2613,829585	9506,521022
38:1-PC	4798,100218	7539,764826	4720,554256	5208,923088	6513,268037	1492,160709	7659,165001	9345,246809	962,3844185	5915,511734
38:2-PC	6035,269968	5569,530558	3878,534088	3249,413849	9677,463719	4784,908943	460,2244559	4015,251262	1249,194001	2659,832357
38:3-PC	5736,087162	7463,336283	8785,716487	7829,605778	7252,007389	6292,507306	4353,807448	3805,12394	6973,351188	4917,139431
38:4-PC	5071,689126	1393,199474	2462,528297	3602,321517	6858,427858	1152,555688	5147,627458	8832,873386	2619,545301	9391,006124
38:5-PC	4139,511669	7011,739949	8968,223448	5557,751129	2626,172728	5219,005932	5695,795233	4841,497196	3266,027341	4869,177185
38:6-PC	8334,480017	4446,522363	3472,354615	8882,235002	9541,583476	3170,340159	8783,514203	5599,95037	84,56701214	7504,32199
40:1-PC	940,2199347	1077,463142	5941,186052	5802,577152	3317,385333	2564,109949	8991,111918	4700,462056	4177,840849	7729,839871
40:2-PC	6054,607465	4156,939484	8588,507166	5293,969178	7824,487395	6943,199557	4937,615283	5379,157916	4921,994335	9331,573983
40:4-PC	2667,010256	352,7864184	3094,278469	122,5154088	6693,731089	9665,911504	7556,592006	9547,40402	93,37815563	4123,01453
40:5-PC	6328,495354	3770,766389	4134,065964	7302,320443	5128,13639	583,4508267	3168,062725	107,1524604	9926,882768	5760,014395
40:6-PC	3884,919458	9603,69758	3166,767043	8573,759398	9519,971277	8262,383275	3076,224782	6151,602424	1613,561574	8415,990893
42:1-PC	5349,895236	6168,567436	9650,338667	83,64491807	483,410382	3171,880809	8057,613429	8562,167529	7296,648815	4491,546901
42:2-PC	2460,763856	1612,704406	8149,911348	8533,130438	9748,964196	8424,924831	5391,6978	9839,558871	2219,859108	4579,244826
42:3-PC	6482,019983	7847,635324	8618,057125	1320,027689	4135,131837	9432,109091	1321,148003	3901,313295	248,3468341	925,8612752
42:4-PC	8829,308577	1568,411905	4468,639637	4822,412831	298,4960135	3678,101682	8146,866204	2477,948745	7517,504149	9892,077056
42:5-PC	8721,910788	6364,436616	2316,84316	5134,761531	4293,620556	807,3704183	5816,102071	91,65175376	5917,893549	573,302726
44:5-PC	9300,278924	7872,103828	6502,821272	8901,448024	9351,001733	9901,930512	1839,782482	9967,864947	3481,067494	1846,190648
16:0-LPC	1884,727629	5970,897648	3187,455587	659,8420282	4612,502697	1724,167921	7236,2927	4389,242137	6824,754787	5256,895955
16:1-LPC	5502,035027	5916,759897	7810,255808	2797,568574	3539,195538	7608,858594	6169,826705	1418,412285	809,3195318	2252,394338
18:0-LPC	5724,145552	860,9475196	4298,634626	3449,703537	9100,419936	3278,643568	6658,023208	8605,81284	4929,532826	7619,544856
18:1-LPC	8866,57068	7441,291869	7306,729157	2871,387422	5904,887853	4016,784725	5893,885281	6778,184126	8261,118439	7439,521624
18:2-LPC	9378,250638	8363,515603	9445,990427	9019,895797	6965,527237	3249,429912	5559,048952	3360,61896	7521,658256	3019,420033
18:3-LPC	5649,516635	7835,45814	5850,088089	1227,18378	2675,495217	8164,969099	104,5874179	5341,355039	6477,40959	325,4533799
30:0-PLASMPC	404,0408493	7183,691658	3682,156301	9743,961176	7587,88056	9365,113077	3252,788305	5991,950416	248,3262201	7567,612391
30:1-PLASMPC	7156,080503	2566,433978	7644,631397	3128,61318	8797,705426	5747,578923	3760,594525	3833,462243	2148,88404	5236,683961
32:0-PLASMPC	616,9451388	6228,331837	2642,53227	5088,710687	2519,991322	8010,245518	4963,062061	2473,032096	4608,50232	1386,318818
32:1-PLASMPC	9583,290096	2262,086919	4499,53085	8203,205172	4462,894439	9075,651973	5123,927722	8908,743331	9027,428474	227,8815491
34:0-PLASMPC	3210,478512	7575,014948	438,9093691	5152,34656	7217,473259	7419,705976	4537,85446	9703,988309	3827,069681	2967,260589
34:1-PLASMPC	5674,199643	5961,032227	2483,079669	4177,688388	2066,472411	9106,240828	4265,389	1951,327395	6411,367602	289,2773894
34:2-PLASMPC	112,454389	4838,816927	905,1131081	2998,892765	6581,897118	6364,686751	5706,04131	4733,180743	5832,304696	8815,353476
36:0-PLASMPC	7871,80133	440,7884804	3022,842795	9714,89164	1444,537258	4769,500601	4925,410926	4769,347293	7029,967483	5801,225513
36:1-PLASMPC	5467,166782	9426,312865	5229,876655	5248,540412	1026,314569	4356,378881	2808,953039	3735,890631	4115,032835	8861,52114
36:2-PLASMPC	711,577144	1176,318286	6754,305624	5716,898646	1765,164582	3378,863314	1322,47765	3192,770109	4138,742219	6701,28907
36:3-PLASMPC	2381,249617	9402,750572	8485,340646	7136,140545	5822,220843	4261,747895	1894,585919	2505,583674	4108,682273	2181,391399
36:4-PLASMPC	3486,155099	8275,19072	9134,788851	9808,22121	2533,660901	2149,146104	5656,974229	6772,006025	3845,251623	9955,048477
38:0-PLASMPC	3779,828728	7263,050344	1603,727216	6862,822991	7029,169458	9035,787212	6909,827774	5790,266737	6684,225128	6454,84574
38:1-PLASMPC	4526,011954	7629,57445	4641,221553	5092,16855	9956,859133	4467,744017	5854,664762	3320,333324	2092,177207	6861,495932
38:2-PLASMPC	7458,419325	5828,451475	1075,431872	4928,284454	2558,908837	1213,250871	3286,935463	8089,110645	117,2344961	7260,986003
38:3-PLASMPC	9684,239078	3194,062355	3048,081653	4841,143742	4337,786672	1337,147889	8618,632584	4519,771257	9126,027879	2664,697448
38:4-PLASMPC	1971,560512	6841,736264	6977,394278	9431,25939	721,9449716	5630,614565	5673,620091	3218,282075	4051,915425	5981,271094
34:1-PEA	8897,257121	5405,81782	1976,287815	578,4158861	2247,830728	5225,33374	2602,290147	40,90142704	7833,07161	872,7284643
34:2-PEA	3269,859221	7605,947746	9016,74905	3645,401384	9789,912781	9238,491597	6028,007419	3254,609306	6694,514179	8861,60545
34:3-PEA	6825,213467	7673,47986	3535,51114	2064,135893	951,3700082	4295,891439	5387,695901	433,9957813	771,1390422	8026,580422
36:1-PEA	4062,436835	9125,629437	9456,890992	2195,076558	7037,656132	1708,270059	7491,719311	8163,867862	6048,021751	8185,933754
36:2-PEA	8688,438905	1889,014953	4070,992589	2946,066654	7319,303469	4965,116146	3745,091147	7741,347626	2079,707996	6750,513077
