"","atomsNoC","numCarbons","numDobleEnll","familia"
"32:0-PC","32:0-PC","32","0","PC"
"32:1-PC","32:1-PC","32","1","PC"
"32:2-PC","32:2-PC","32","2","PC"
"34:0-PC","34:0-PC","34","0","PC"
"34:1-PC","34:1-PC","34","1","PC"
"34:2-PC","34:2-PC","34","2","PC"
"34:3-PC","34:3-PC","34","3","PC"
"34:4-PC","34:4-PC","34","4","PC"
"34:5-PC","34:5-PC","34","5","PC"
"36:0-PC","36:0-PC","36","0","PC"
"36:1-PC","36:1-PC","36","1","PC"
"36:2-PC","36:2-PC","36","2","PC"
"36:3-PC","36:3-PC","36","3","PC"
"36:4-PC","36:4-PC","36","4","PC"
"36:5-PC","36:5-PC","36","5","PC"
"36:6-PC","36:6-PC","36","6","PC"
"38:1-PC","38:1-PC","38","1","PC"
"38:2-PC","38:2-PC","38","2","PC"
"38:3-PC","38:3-PC","38","3","PC"
"38:4-PC","38:4-PC","38","4","PC"
"38:5-PC","38:5-PC","38","5","PC"
"38:6-PC","38:6-PC","38","6","PC"
"40:1-PC","40:1-PC","40","1","PC"
"40:2-PC","40:2-PC","40","2","PC"
"40:4-PC","40:4-PC","40","4","PC"
"40:5-PC","40:5-PC","40","5","PC"
"40:6-PC","40:6-PC","40","6","PC"
"42:1-PC","42:1-PC","42","1","PC"
"42:2-PC","42:2-PC","42","2","PC"
"42:3-PC","42:3-PC","42","3","PC"
"42:4-PC","42:4-PC","42","4","PC"
"42:5-PC","42:5-PC","42","5","PC"
"44:5-PC","44:5-PC","44","5","PC"
"16:0-LPC","16:0-LPC","16","0","LPC"
"16:1-LPC","16:1-LPC","16","1","LPC"
"18:0-LPC","18:0-LPC","18","0","LPC"
"18:1-LPC","18:1-LPC","18","1","LPC"
"18:2-LPC","18:2-LPC","18","2","LPC"
"18:3-LPC","18:3-LPC","18","3","LPC"
"30:0-PLASMPC","30:0-PLASMPC","30","0","PLASMPC"
"30:1-PLASMPC","30:1-PLASMPC","30","1","PLASMPC"
"32:0-PLASMPC","32:0-PLASMPC","32","0","PLASMPC"
"32:1-PLASMPC","32:1-PLASMPC","32","1","PLASMPC"
"34:0-PLASMPC","34:0-PLASMPC","34","0","PLASMPC"
"34:1-PLASMPC","34:1-PLASMPC","34","1","PLASMPC"
"34:2-PLASMPC","34:2-PLASMPC","34","2","PLASMPC"
"36:0-PLASMPC","36:0-PLASMPC","36","0","PLASMPC"
"36:1-PLASMPC","36:1-PLASMPC","36","1","PLASMPC"
"36:2-PLASMPC","36:2-PLASMPC","36","2","PLASMPC"
"36:3-PLASMPC","36:3-PLASMPC","36","3","PLASMPC"
